"","resp_id","sn","site","fokontany","main_house_rm","house_qlty","tlu","food_sec","mplayer_num","irrigated_rice","lightAvail","Migrant","hh_age","M_reason","hh_size","dist2park","dist_migrated","PC1","PC2","MigrantF"
"1","AMB001",204,"Zahamena","Ambodivoangy",1,1,0.02,6,0,1,1,1,5,NA,2,2456,NA,-0.557005524741843,-0.422890442561919,"Non-migrant"
"2","AMB002",205,"Zahamena","Ambodivoangy",1,2,1.62,9,0,1,1,0,38,3,7,2330,0,0.758474031539756,-1.41289527087852,"Migrant"
"3","AMB003",206,"Zahamena","Ambodivoangy",1,2,0.24,9,0,1,1,1,13,NA,7,2418,NA,0.579879299907725,-1.91546942486998,"Non-migrant"
"4","AMB004",207,"Zahamena","Ambodivoangy",1,1,0.03,8,0,0,1,0,38,2,9,2382,0,-0.881157955426533,-0.376616378783199,"Migrant"
"5","AMB005",208,"Zahamena","Ambodivoangy",1,1,0.04,9,0,1,1,0,38,2,8,2485,0,-0.218687588535817,-0.645152645517864,"Migrant"
"6","AMB006",209,"Zahamena","Ambodivoangy",1,1,0.01,9,0,1,1,1,14,NA,7,2401,NA,-0.22257008270173,-0.656078170604635,"Non-migrant"
"7","AMB007",210,"Zahamena","Ambodivoangy",1,1,0.22,8,0,0,1,1,8,NA,4,2429,NA,-0.85656882570908,-0.307421386566984,"Non-migrant"
"8","AMB008",211,"Zahamena","Ambodivoangy",1,1,0,6,0,1,0,1,8,NA,6,2498,NA,-0.870924977654751,-0.637862236234552,"Non-migrant"
"9","AMB009",212,"Zahamena","Ambodivoangy",2,2,0.01,8,0,1,1,1,49,NA,5,2315,NA,0.862623305276695,-2.1552291750885,"Non-migrant"
"10","AMB010",213,"Zahamena","Ambodivoangy",2,2,0.02,10,0,1,1,1,13,NA,6,2262,NA,1.08773720784006,-2.30461792429099,"Non-migrant"
"11","AMB011",214,"Zahamena","Ambodivoangy",4,2,0.04,8,0,1,3,1,13,NA,9,2324,NA,2.33800737217055,-2.19395280277678,"Non-migrant"
"12","AMB012",215,"Zahamena","Ambodivoangy",1,1,0.05,9,0,0,1,1,3,NA,4,2048,NA,-0.766659757061896,-0.44584799084106,"Non-migrant"
"13","AMB013",216,"Zahamena","Ambodivoangy",1,1,0.02,8,0,1,0,1,2,NA,6,1998,NA,-0.644516910369419,-0.783609143741455,"Non-migrant"
"14","AMB014",217,"Zahamena","Ambodivoangy",1,1,0.01,8,0,0,3,1,4,NA,5,2088,NA,-0.261084037932545,0.0314761583885248,"Non-migrant"
"15","AMB015",218,"Zahamena","Ambodivoangy",1,1,0.2,7,0,0,1,0,26,3,4,2323,35.197,-0.971067024073717,-0.238189774509123,"Migrant"
"16","AMB016",219,"Zahamena","Ambodivoangy",1,2,0.06,9,0,1,1,1,31,NA,8,2315,NA,0.556584334912243,-1.98102257539061,"Non-migrant"
"17","AMB017",220,"Zahamena","Ambodivoangy",6,2,1.48,9,0,1,1,1,52,NA,4,2313,NA,2.86245403990718,-2.62644448796169,"Non-migrant"
"18","AMB018",221,"Zahamena","Ambodivoangy",1,1,0.03,8,0,1,3,1,16,NA,7,2328,NA,0.290770624759449,-0.156902971201508,"Non-migrant"
"19","AMB019",222,"Zahamena","Ambodivoangy",1,1,0.02,8,0,0,1,1,6,NA,8,2252,NA,-0.882452120148504,-0.38025822047879,"Non-migrant"
"20","AMB020",223,"Zahamena","Ambodivoangy",1,1,0.04,9,0,0,1,1,10,NA,3,2294,NA,-0.767953921783867,-0.449489832536651,"Non-migrant"
"21","AMB021",224,"Zahamena","Ambodivoangy",1,1,0.27,5,0,0,1,1,10,NA,8,2358,NA,-1.18582760886131,-0.0596662917419072,"Non-migrant"
"22","AMB022",225,"Zahamena","Ambodivoangy",2,2,0.21,6,0,0,1,1,2,NA,7,2717,NA,0.11542052862668,-1.73369893729739,"Non-migrant"
"23","AMB023",226,"Zahamena","Ambodivoangy",1,1,0.01,9,0,0,1,1,25,NA,7,2351,NA,-0.771836415949781,-0.460415357623422,"Non-migrant"
"24","AMB024",227,"Zahamena","Ambodivoangy",1,2,0.1,4,0,0,1,1,39,NA,3,2250,NA,-0.547054684051396,-1.38821591838182,"Non-migrant"
"25","AMB025",228,"Zahamena","Ambodivoangy",2,1,0.06,10,1,0,3,1,3,NA,3,2494,NA,0.985378354109206,0.888626867010283,"Non-migrant"
"26","AMB026",229,"Zahamena","Ambodivoangy",2,2,0.7,7,1,1,1,1,28,NA,9,2006,NA,1.43176296986752,-0.602942024932853,"Non-migrant"
"27","AMB027",230,"Zahamena","Ambodivoangy",1,1,0.02,3,0,0,1,1,6,NA,4,2098,NA,-1.44200146475198,0.00231825676641906,"Non-migrant"
"28","AMB028",231,"Zahamena","Ambodivoangy",1,1,0.03,2,0,1,3,0,43,4,7,2071,0,-0.380688588764719,0.302188801492743,"Migrant"
"29","AMB029",232,"Zahamena","Ambodivoangy",2,1,0.04,2,1,1,1,0,20,3,7,2089,0,0.0141151596098261,0.882426513667318,"Migrant"
"30","AMB030",233,"Zahamena","Ambodivoangy",4,2,0.02,4,0,0,1,0,20,3,9,2083,0,0.715850986857844,-2.11488871195349,"Migrant"
"31","AMB031",234,"Zahamena","Ambodivoangy",3,2,0.04,9,1,0,1,1,44,NA,8,2269,NA,1.44532116570576,-1.03318404142766,"Non-migrant"
"32","AMB032",235,"Zahamena","Ambodivoangy",4,2,0,12,1,0,3,0,1,2,3,2207,0,2.82295602341289,-1.09443376066323,"Migrant"
"33","AMB033",236,"Zahamena","Ambodivoangy",1,1,0,4,0,0,2,1,60,NA,1,2458,NA,-1.02134880180626,0.126207388207649,"Non-migrant"
"34","AMB034",237,"Zahamena","Ambodivoangy",2,1,0.07,4,0,0,1,1,1,NA,3,2403,NA,-0.899201109326424,-0.288500516873653,"Non-migrant"
"35","AMB035",238,"Zahamena","Ambodivoangy",2,1,0.07,4,0,1,3,0,3,6,4,2506,28.535,0.272727470859558,-0.0687871092919611,"Migrant"
"36","AMB036",239,"Zahamena","Ambodivoangy",1,1,0.3,2,0,1,1,1,3,NA,7,2475,NA,-0.968408388209427,-0.0148576932892244,"Non-migrant"
"37","AMB037",240,"Zahamena","Ambodivoangy",1,1,1.36,5,1,0,1,1,35,NA,7,2433,NA,-0.45301148647094,1.56177923078831,"Non-migrant"
"38","AMB038",241,"Zahamena","Ambodivoangy",1,1,0.02,4,0,0,1,1,6,NA,4,2493,NA,-1.33009159583128,-0.0741970386826226,"Non-migrant"
"39","AMB039",242,"Zahamena","Ambodivoangy",2,2,0.07,3,0,0,3,1,60,NA,7,910,NA,0.38423486269493,-1.13976261412563,"Non-migrant"
"40","AMB040",243,"Zahamena","Ambodivoangy",4,2,1.68,9,1,1,2,1,3,NA,8,763,NA,2.94258129972106,-0.656409392719599,"Non-migrant"
"41","AMB041",244,"Zahamena","Ambodivoangy",2,1,0.03,7,0,0,1,1,7,NA,2,2256,NA,-0.568648161452225,-0.532613770003139,"Non-migrant"
"42","AMB042",245,"Zahamena","Ambodivoangy",2,1,0.48,6,0,0,1,1,20,NA,7,2203,NA,-0.622320617884213,-0.292215598252534,"Non-migrant"
"43","AMB043",246,"Zahamena","Ambodivoangy",2,1,0.24,6,0,0,3,1,12,NA,6,2260,NA,-0.0307183242735921,0.0357564216162035,"Non-migrant"
"44","AMB044",247,"Zahamena","Ambodivoangy",1,1,0.02,12,0,1,1,1,16,NA,10,2276,NA,0.114453688782325,-0.88198221525617,"Non-migrant"
"45","AMB045",248,"Zahamena","Ambodivoangy",1,1,0.01,6,0,0,3,0,2,4,2,2309,0,-0.484903775773934,0.184506749286608,"Migrant"
"46","AMB046",249,"Zahamena","Ambodivoangy",2,2,2.51,11,0,0,1,1,10,NA,7,2293,NA,0.972627759283538,-1.27865182455684,"Non-migrant"
"47","AMB047",250,"Zahamena","Ambodivoangy",2,1,0.2,8,0,1,1,1,5,NA,3,2318,NA,0.114528840990032,-0.742880569608359,"Non-migrant"
"48","AMB048",251,"Zahamena","Ambodivoangy",1,2,0.23,5,1,1,3,1,35,NA,6,2408,NA,1.34536007413641,0.0268109135043726,"Non-migrant"
"49","AMB049",252,"Zahamena","Ambodivoangy",3,2,0.03,7,0,1,3,1,40,NA,3,2051,NA,1.80038367563288,-1.88856666235435,"Non-migrant"
"50","AMB050",253,"Zahamena","Ambodivoangy",1,1,0.02,5,0,0,3,1,12,NA,5,2025,NA,-0.595519479972657,0.26466388643124,"Non-migrant"
"51","AMB051",254,"Zahamena","Ambodivoangy",1,1,0.21,6,0,0,3,1,9,NA,8,2019,NA,-0.459020481334509,0.257343583198414,"Non-migrant"
"52","AMB052",255,"Zahamena","Ambodivoangy",1,1,0.02,5,0,0,2,1,4,NA,4,2384,NA,-0.906850603441623,0.056975776149788,"Non-migrant"
"53","AMB053",256,"Zahamena","Ambodivoangy",1,2,0.02,3,1,1,3,1,14,NA,9,2503,NA,1.09436287713362,0.10336282879506,"Non-migrant"
"54","AMB054",257,"Zahamena","Ambodivoangy",1,2,0.03,6,0,0,3,1,42,NA,7,2494,NA,0.290368147674125,-1.15136318058613,"Non-migrant"
"55","AMB055",258,"Zahamena","Ambodivoangy",1,2,0.02,5,0,0,3,1,17,NA,5,2499,NA,0.17716411403146,-1.07848972683268,"Non-migrant"
"56","AMB056",259,"Zahamena","Ambodivoangy",1,1,0.06,9,1,0,3,1,14,NA,8,2481,NA,0.449048822293508,1.19765484912831,"Non-migrant"
"57","AMB057",260,"Zahamena","Ambodivoangy",2,1,0.02,9,0,0,3,1,8,NA,6,2255,NA,0.276539658605124,-0.273909982033908,"Non-migrant"
"58","AMB058",261,"Zahamena","Ambodivoangy",1,1,0.05,3,0,0,3,1,40,NA,4,2297,NA,-0.815456723648133,0.428620002416095,"Non-migrant"
"59","AMB059",262,"Zahamena","Ambodivoangy",1,1,3.25,8,1,1,3,1,7,NA,4,2270,NA,1.29924383292969,2.24025483248944,"Non-migrant"
"60","AMB060",263,"Zahamena","Ambodivoangy",1,1,1.04,7,1,0,3,1,14,NA,8,2294,NA,0.3520572272053,1.70758592619424,"Non-migrant"
"61","AMB061",264,"Zahamena","Ambodivoangy",2,1,0.04,9,0,1,2,1,25,NA,4,2477,NA,0.517063197828152,-0.669977221905393,"Non-migrant"
"62","AMB062",265,"Zahamena","Ambodivoangy",1,1,0.04,8,1,0,3,1,2,NA,4,1534,NA,0.334550623928871,1.26688646118617,"Non-migrant"
"63","AMB063",266,"Zahamena","Ambodivoangy",2,1,0.92,8,0,1,3,1,43,NA,6,2353,NA,0.830370947909892,-0.0652917469629536,"Non-migrant"
"64","AMB064",267,"Zahamena","Ambodivoangy",1,1,0.27,10,1,1,3,1,3,NA,3,2277,NA,1.13740248362365,1.00195541630545,"Non-migrant"
"65","AMB065",268,"Zahamena","Ambodivoangy",1,1,0.21,7,0,0,2,1,5,NA,3,2294,NA,-0.65844173588278,-0.0268598225320801,"Non-migrant"
"66","AMB066",269,"Zahamena","Ambodivoangy",1,2,0.01,9,0,1,3,1,22,NA,8,2324,NA,1.17277575824032,-1.58385556330565,"Non-migrant"
"67","AMB067",270,"Zahamena","Ambodivoangy",2,1,0.05,6,0,0,4,1,9,NA,6,2500,NA,0.25602366947792,0.17424953968144,"Non-migrant"
"68","AMB068",271,"Zahamena","Ambodivoangy",1,1,0,2,0,0,0,1,5,NA,5,1975,NA,-1.86783078658558,-0.136138241457172,"Non-migrant"
"69","AMB069",272,"Zahamena","Ambodivoangy",1,1,0.02,7,0,0,2,1,27,NA,8,2488,NA,-0.683030865600234,-0.0960548147482955,"Non-migrant"
"70","AMB070",273,"Zahamena","Ambodivoangy",1,1,0.02,5,0,1,2,1,10,NA,5,2451,NA,-0.357584270193572,-0.138687036831425,"Non-migrant"
"71","AMB071",274,"Zahamena","Ambodivoangy",1,1,0.04,6,1,1,4,1,40,NA,8,2504,NA,0.971328342804498,1.43194234938449,"Non-migrant"
"72","AMB072",275,"Zahamena","Ambodivoangy",1,1,0.02,5,0,1,2,1,7,NA,5,1977,NA,-0.357584270193572,-0.138687036831425,"Non-migrant"
"73","AMB073",276,"Zahamena","Ambodivoangy",2,1,0.08,10,0,1,4,1,11,NA,8,2048,NA,1.25681197257466,-0.316548930009169,"Non-migrant"
"74","AMB074",277,"Zahamena","Ambodivoangy",2,1,0,4,0,0,2,1,-100,NA,8,2037,NA,-0.596929138911257,-0.106305298461332,"Non-migrant"
"75","AMB075",278,"Zahamena","Ambodivoangy",1,1,0.02,3,0,0,2,1,40,NA,3,2126,NA,-1.13067034128301,0.210006367047871,"Non-migrant"
"76","AMB076",279,"Zahamena","Ambodivoangy",2,2,0.03,12,1,0,4,1,21,NA,8,2332,NA,2.28933031525776,-0.410794751957041,"Non-migrant"
"77","AMB077",280,"Zahamena","Ambodivoangy",1,1,0.02,5,1,0,1,1,-100,NA,6,2467,NA,-0.626429559215087,1.07377244357921,"Non-migrant"
"78","AMB078",281,"Zahamena","Ambodivoangy",1,1,0.06,7,0,1,4,1,10,NA,5,2486,NA,0.494074373473633,0.138225959615757,"Non-migrant"
"79","AMB079",282,"Zahamena","Ambodivoangy",1,1,0.09,6,0,1,2,1,8,NA,5,2429,NA,-0.236615248219079,-0.189709440411335,"Non-migrant"
"80","AMB080",283,"Zahamena","Ambodivoangy",2,1,0.09,7,0,0,3,1,16,NA,6,2328,NA,0.0617790738175339,-0.0953864992666925,"Non-migrant"
"81","AMB081",284,"Zahamena","Ambodivoangy",1,1,0.09,10,0,1,3,1,25,NA,10,2269,NA,0.522355350932665,-0.28808251192605,"Non-migrant"
"82","AMB082",285,"Zahamena","Ambodivoangy",2,2,0.05,12,1,1,2,1,3,NA,2,2276,NA,2.21852273101183,-1.01455010210998,"Non-migrant"
"83","AMB083",286,"Zahamena","Ambodivoangy",2,1,0.07,9,0,1,2,1,7,NA,6,2347,NA,0.520945691994066,-0.659051696818622,"Non-migrant"
"84","AMB084",287,"Zahamena","Ambodivoangy",1,2,0.09,8,0,0,4,1,32,NA,10,2298,NA,0.833283997316308,-1.07485461102922,"Non-migrant"
"85","AMB085",288,"Zahamena","Ambodivoangy",2,1,0.25,9,0,0,4,1,6,NA,5,2287,NA,0.617636570679429,0.0175404872461211,"Non-migrant"
"86","AMB086",289,"Zahamena","Ambodivoangy",2,1,3.08,10,0,0,2,1,14,NA,8,2228,NA,0.473132808980053,0.556290171086226,"Non-migrant"
"87","AMB087",290,"Zahamena","Ambodivoangy",2,1,0.02,5,0,0,3,1,-100,NA,4,2212,NA,-0.171099817077654,0.032151199762259,"Non-migrant"
"88","AMB088",291,"Zahamena","Ambodivoangy",2,1,0.2,10,1,0,4,1,7,NA,6,2295,NA,1.31482778368577,1.14730076103,"Non-migrant"
"89","AMF001",555,"Amporoforo","Amporoforo",2,1,0.17,6,1,1,2,1,17,NA,8,16819,NA,0.789909900147196,0.831397384195277,"Non-migrant"
"90","AMF002",556,"Amporoforo","Amporoforo",2,1,0.02,7,0,1,1,1,30,NA,6,16821,NA,-0.0206759929261451,-0.731918424679942,"Non-migrant"
"91","AMF003",557,"Amporoforo","Amporoforo",1,1,0.02,8,0,1,1,1,40,NA,1,16815,NA,-0.333185786900454,-0.575921033460003,"Non-migrant"
"92","AMF004",558,"Amporoforo","Amporoforo",1,1,0.02,6,0,1,1,1,44,NA,6,16768,NA,-0.557005524741843,-0.422890442561919,"Non-migrant"
"93","AMF005",559,"Amporoforo","Amporoforo",3,1,0.05,8,0,1,1,1,25,NA,4,16742,NA,0.519536033055467,-1.03002088171119,"Non-migrant"
"94","AMF006",560,"Amporoforo","Amporoforo",2,1,0.05,9,0,1,1,0,15,4,4,16868,0,0.207026239081158,-0.874023490491255,"Migrant"
"95","AMF007",561,"Amporoforo","Amporoforo",2,1,0.02,5,0,1,1,1,2,NA,3,16693,NA,-0.244495730767534,-0.578887833781859,"Non-migrant"
"96","AMF008",562,"Amporoforo","Amporoforo",2,1,0.04,4,0,1,1,1,40,NA,3,16756,NA,-0.353817270244287,-0.495088854941637,"Non-migrant"
"97","AMF009",563,"Amporoforo","Amporoforo",3,1,1.45,12,0,1,3,1,4,NA,3,16750,NA,1.77102081675215,-0.410848005561817,"Non-migrant"
"98","AMF010",564,"Amporoforo","Amporoforo",1,1,0.04,9,1,1,1,0,7,4,3,16779,0,0.373064579159685,0.579332132193008,"Migrant"
"99","AMF011",565,"Amporoforo","Amporoforo",2,1,0.06,3,1,1,3,1,16,NA,7,16821,NA,0.751275604912394,1.22857112217236,"Non-migrant"
"100","AMF012",566,"Amporoforo","Amporoforo",3,1,0.2,8,1,1,2,1,24,NA,9,16843,NA,1.4420317950495,0.456779631714984,"Non-migrant"
"101","AMF013",567,"Amporoforo","Amporoforo",1,1,0.08,12,0,1,3,1,11,NA,3,16752,NA,0.744880924052084,-0.444754944519723,"Non-migrant"
"102","AMF014",568,"Amporoforo","Amporoforo",2,1,0.02,10,0,1,3,0,10,3,6,16877,10.38,0.93771586077387,-0.546088090464163,"Migrant"
"103","AMF015",569,"Amporoforo","Amporoforo",1,1,0.77,10,1,1,3,0,12,3,5,16860,10.38,1.20211071972221,1.18404750108496,"Migrant"
"104","AMF016",570,"Amporoforo","Amporoforo",1,1,5.71,12,1,1,4,1,40,NA,6,16715,NA,2.37657895368636,3.03777481808993,"Non-migrant"
"105","AMF017",571,"Amporoforo","Amporoforo",1,1,0,9,1,1,3,1,14,NA,7,16768,NA,0.990550167209731,0.980140985973551,"Non-migrant"
"106","AMF018",572,"Amporoforo","Amporoforo",1,1,0.02,10,0,1,3,1,4,NA,3,16826,NA,0.513296197878867,-0.313575403795181,"Non-migrant"
"107","AMF019",573,"Amporoforo","Amporoforo",2,1,0.75,12,0,1,3,1,25,NA,2,16858,NA,1.25600962331916,-0.433264237584155,"Non-migrant"
"108","AMF020",574,"Amporoforo","Amporoforo",1,1,1.43,10,0,1,3,1,30,NA,2,16780,NA,0.695773423676812,0.199924275283049,"Non-migrant"
"109","AMF021",575,"Amporoforo","Amporoforo",1,1,1.43,6,0,1,2,0,10,3,2,16805,10.38,-0.0631971754749325,0.298297346797763,"Migrant"
"110","AMF022",576,"Amporoforo","Amporoforo",2,2,0.02,12,1,1,4,0,7,6,7,16800,10.38,2.83730248378384,-0.610099406633844,"Migrant"
"111","AMF023",577,"Amporoforo","Amporoforo",1,1,0.04,6,0,1,3,1,6,NA,6,16788,NA,0.0682450516400307,-0.000230538607834063,"Non-migrant"
"112","AMF024",578,"Amporoforo","Amporoforo",1,1,0.06,10,0,1,3,1,27,NA,4,16808,NA,0.518472856766752,-0.29900803701282,"Non-migrant"
"113","AMF025",579,"Amporoforo","Amporoforo",2,1,0.77,8,0,1,1,1,30,NA,2,18536,NA,0.188296230142393,-0.535295592959713,"Non-migrant"
"114","AMF026",580,"Amporoforo","Amporoforo",1,1,2.84,7,0,1,1,1,36,NA,7,18526,NA,-0.0801412042252585,0.527593620145499,"Non-migrant"
"115","AMF027",581,"Amporoforo","Amporoforo",1,1,0.02,6,0,1,1,0,2,3,4,18531,0,-0.557005524741843,-0.422890442561919,"Migrant"
"116","AMF028",582,"Amporoforo","Amporoforo",2,2,4.96,12,0,1,3,1,37,NA,7,18510,NA,2.57353656527317,-0.243202497004567,"Non-migrant"
"117","AMF029",583,"Amporoforo","Amporoforo",1,1,0.04,5,0,1,1,1,18,NA,8,18523,NA,-0.666327064218595,-0.339091463721697,"Non-migrant"
"118","AMF030",584,"Amporoforo","Amporoforo",2,1,2.95,10,0,1,3,1,12,NA,5,18494,NA,1.31690612431144,0.520971526343791,"Non-migrant"
"119","AMF031",585,"Amporoforo","Amporoforo",1,1,0.05,12,0,1,3,1,2,NA,3,18565,NA,0.74099842988617,-0.455680469606494,"Non-migrant"
"120","AMF032",586,"Amporoforo","Amporoforo",2,2,4.24,11,0,1,3,0,7,3,4,18516,0,2.36844683637054,-0.428899803638025,"Migrant"
"121","AMF033",587,"Amporoforo","Amporoforo",1,1,0,6,0,1,1,1,1,NA,2,18533,NA,-0.559593854185785,-0.4301741259531,"Non-migrant"
"122","AMF034",588,"Amporoforo","Amporoforo",1,1,1.5,8,0,1,2,1,45,NA,4,18506,NA,0.169681715420255,0.170759647768812,"Non-migrant"
"123","AMF035",589,"Amporoforo","Amporoforo",1,1,0.26,12,0,1,3,1,30,NA,6,18532,NA,0.768175889047566,-0.379201793999098,"Non-migrant"
"124","AMF036",590,"Amporoforo","Amporoforo",1,1,4.22,12,0,1,1,1,7,NA,4,18516,NA,0.658002872010246,0.64759129689175,"Non-migrant"
"125","AMF037",591,"Amporoforo","Amporoforo",1,1,0.9,11,0,1,3,1,7,NA,6,18506,NA,0.73909256233303,-0.0696086300322781,"Non-migrant"
"126","AMF038",592,"Amporoforo","Amporoforo",1,1,0.71,11,0,1,3,1,4,NA,3,18639,NA,0.714503432615577,-0.138803622248494,"Non-migrant"
"127","AMF039",593,"Amporoforo","Amporoforo",1,1,0,6,0,1,1,0,1,3,6,18590,0,-0.559593854185785,-0.4301741259531,"Migrant"
"128","AMF040",594,"Amporoforo","Amporoforo",3,1,0,11,0,1,3,1,30,NA,3,18533,NA,1.47145706314563,-0.862399755973366,"Non-migrant"
"129","AMF041",595,"Amporoforo","Amporoforo",2,2,0.01,10,1,1,3,0,10,3,4,18528,61.202,2.30085745775152,-0.668398767712803,"Migrant"
"130","AMF042",596,"Amporoforo","Amporoforo",1,1,0,12,0,1,3,1,20,NA,8,18535,NA,0.734527606276314,-0.473889678084445,"Non-migrant"
"131","AMF043",597,"Amporoforo","Amporoforo",2,2,0.06,12,0,1,4,1,18,NA,11,18512,NA,2.25072697497623,-1.82001681756235,"Non-migrant"
"132","AMF044",598,"Amporoforo","Amporoforo",1,1,0.04,10,0,1,4,1,20,NA,4,18545,NA,0.827215650791775,-0.0986036101225486,"Non-migrant"
"133","AMF045",599,"Amporoforo","Amporoforo",1,1,0.73,10,1,1,3,1,20,NA,8,18528,NA,1.19693406083433,1.1694801343026,"Non-migrant"
"134","AMF046",600,"Amporoforo","Amporoforo",1,1,0.04,5,0,0,2,1,20,NA,8,18510,NA,-0.90426227399768,0.0642594595409686,"Non-migrant"
"135","AMF047",601,"Amporoforo","Amporoforo",1,1,0.02,9,0,1,3,1,30,NA,5,18508,NA,0.401386328958172,-0.23706010834614,"Non-migrant"
"136","AMF048",602,"Amporoforo","Amporoforo",1,1,0,6,0,1,2,0,10,3,5,18504,10.38,-0.24826273071682,-0.222486015671648,"Migrant"
"137","AMF049",603,"Amporoforo","Amporoforo",2,2,0.01,12,0,1,3,1,4,NA,3,18514,NA,1.9329250278974,-2.04591413632176,"Non-migrant"
"138","AMP001",1,"Ampahitra","Ampahitra",1,1,0.01,10,0,0,1,0,8,4,3,-1703,18.4,-0.659926547029086,-0.536930653072463,"Migrant"
"139","AMP002",2,"Ampahitra","Ampahitra",1,1,0,3,1,0,4,0,15,4,7,-2386,0,0.0811557439064786,1.84258368193047,"Migrant"
"140","AMP003",3,"Ampahitra","Ampahitra",1,1,0.1,9,1,0,2,0,2,4,8,-2713,29.4,0.142894357712427,1.00453410562921,"Migrant"
"141","AMP004",4,"Ampahitra","Ampahitra",1,1,2.32,10,0,1,4,0,5,4,6,-1279,29.4,1.12228520740122,0.731736296472036,"Migrant"
"142","AMP005",5,"Ampahitra","Ampahitra",1,1,0.44,6,0,0,2,0,1,4,6,-1332,0,-0.740585816198136,0.133417831915538,"Migrant"
"143","AMP006",6,"Ampahitra","Ampahitra",4,1,2.54,9,0,0,4,1,13,NA,17,-1603,NA,1.76283961780085,0.386496862198334,"Non-migrant"
"144","AMP007",7,"Ampahitra","Ampahitra",1,1,1.46,3,0,0,2,0,1,4,4,-1651,150.2,-0.944310621319154,0.734431571212873,"Migrant"
"145","AMP008",8,"Ampahitra","Ampahitra",1,1,0,3,1,1,0,1,8,NA,10,-2357,NA,-0.614902416721333,0.816168427823444,"Non-migrant"
